Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2015-09-28,41.5,41.5,39.75,39.8,39.91,425.0,13.0,16961.0,220.0,51.76,1.75,-1.7
2015-09-24,41.35,41.9,39.95,41.5,40.62,1045.0,40.0,42445.0,900.0,86.12,1.95,0.15
2015-09-23,41.4,41.45,41.4,41.4,41.4,105.0,10.0,4347.0,105.0,100.0,0.05,0.0
2015-09-22,41.6,41.6,37.0,41.35,37.85,1045.0,27.0,39557.0,1045.0,100.0,4.6,-0.25
2015-09-21,41.6,41.75,39.0,41.7,40.51,734.0,49.0,29735.0,725.0,98.77,2.75,0.1
2015-09-18,41.85,41.85,38.5,41.3,40.77,920.0,38.0,37507.0,715.0,77.72,3.35,-0.55
2015-09-16,42.0,42.0,38.9,41.25,41.0,1618.0,59.0,66338.0,1410.0,87.14,3.1,-0.75
2015-09-15,39.75,40.0,39.75,39.75,39.75,5205.0,31.0,206923.0,5005.0,96.16,0.25,0.0
2015-09-14,42.0,42.0,39.5,41.35,41.29,125.0,12.0,5161.0,120.0,96.0,2.5,-0.65
2015-09-11,41.8,42.15,40.0,41.55,41.5811594203,690.0,36.0,28691.0,595.0,86.23,2.15,-0.25
2015-09-10,39.9,41.9,39.9,41.4,40.3452069146,9545.0,43.0,385095.0,4993.0,52.31,2.0,1.5
2015-09-09,40.0,40.0,38.0,39.65,39.5869356388,1041.0,38.0,41210.0,674.0,64.75,2.0,-0.35
2015-09-08,39.35,41.85,38.85,40.0,40.0035087719,285.0,21.0,11401.0,260.0,91.23,3.0,0.65
2015-09-07,42.0,42.0,39.8,39.95,40.5842857143,700.0,13.0,28409.0,625.0,89.29,2.2,-2.05
2015-09-04,40.0,40.0,39.0,39.0,39.0741797432,701.0,39.0,27391.0,701.0,100.0,1.0,-1.0
2015-09-03,38.05,39.0,37.5,38.0,38.5752711497,9220.0,69.0,355664.0,8465.0,91.81,1.5,-0.05
2015-09-02,40.25,40.25,38.0,38.8,38.8011644513,9103.0,83.0,353207.0,7689.0,84.47,2.25,-1.45
2015-09-01,40.9,41.2,38.0,38.85,39.3856304985,1364.0,65.0,53722.0,1285.0,94.21,3.2,-2.05
2015-08-31,41.0,41.0,38.0,40.3,40.3323126511,12410.0,58.0,500524.0,11085.0,89.32,3.0,-0.7
2015-08-28,41.4,41.9,39.5,41.0,40.6280983639,10207.0,113.0,414691.0,9670.0,94.74,2.4,-0.4
2015-08-27,39.5,42.0,39.0,40.6,40.2341407151,2601.0,67.0,104649.0,1815.0,69.78,3.0,1.1
2015-08-26,40.85,43.0,38.75,39.95,40.0260416667,1920.0,70.0,76850.0,1850.0,96.35,4.25,-0.9
2015-08-25,40.0,42.0,37.5,38.25,39.2966177125,8988.0,79.0,353198.0,5950.0,66.2,4.5,-1.75
2015-08-24,42.0,43.0,35.0,39.75,39.5096209605,18969.0,192.0,749458.0,8228.0,43.38,8.0,-2.25
2015-08-21,44.0,44.0,41.75,42.0,43.6862401402,5705.0,39.0,249230.0,705.0,12.36,2.25,-2.0
2015-08-20,43.0,43.5,41.85,41.95,43.0128424658,5840.0,52.0,251195.0,610.0,10.45,1.65,-1.05
2015-08-19,43.5,44.0,42.0,42.95,42.9389785171,11963.0,55.0,513679.0,6395.0,53.46,2.0,-0.55
2015-08-18,44.25,44.3,42.0,42.95,43.8255718282,6077.0,82.0,266328.0,866.0,14.25,2.3,-1.3
2015-08-17,43.5,44.0,42.0,42.8,43.4268467037,6295.0,78.0,273372.0,1160.0,18.43,2.0,-0.7
2015-08-14,44.8,44.8,42.5,43.95,42.8411674347,3255.0,52.0,139448.0,2255.0,69.28,2.3,-0.85
2015-08-13,44.5,44.85,43.0,44.45,43.8011754828,5955.0,34.0,260836.0,710.0,11.92,1.85,-0.05
2015-08-12,44.0,44.0,42.05,43.45,42.8362564258,6614.0,53.0,283319.0,872.0,13.18,1.95,-0.55
2015-08-11,44.85,44.85,38.5,43.35,43.5021923815,7298.0,52.0,317479.0,2196.0,30.09,6.35,-1.5
2015-08-10,45.0,45.0,43.0,43.35,44.0064257028,6225.0,50.0,273940.0,1070.0,17.19,2.0,-1.65
2015-08-07,45.0,45.0,42.85,43.0,43.5897458603,11293.0,148.0,492259.0,5792.0,51.29,2.15,-2.0
2015-08-06,44.0,44.95,42.0,43.9,43.6620982987,6348.0,79.0,277167.0,921.0,14.51,2.95,-0.1
2015-08-05,45.0,45.0,43.1,44.1,44.2434718647,5438.0,42.0,240596.0,315.0,5.79,1.9,-0.9
2015-08-04,44.55,48.0,44.0,44.75,45.3477831296,8097.0,44.0,367181.0,2555.0,31.55,4.0,0.2
2015-08-03,46.0,46.0,43.0,44.3,43.8192265795,18360.0,67.0,804521.0,13125.0,71.49,3.0,-1.7
2015-07-31,44.0,45.0,43.25,43.75,44.391944841,32923.0,147.0,1461516.0,4679.0,14.21,1.75,-0.25
2015-07-30,45.1,45.1,42.0,42.9,43.4608371024,13929.0,117.0,605366.0,5397.0,38.75,3.1,-2.2
2015-07-29,45.9,45.9,42.15,45.05,44.0611442516,7376.0,27.0,324995.0,2376.0,32.21,3.75,-0.85
2015-07-28,42.15,45.9,42.1,44.95,44.1871317622,14936.0,53.0,659979.0,5540.0,37.09,3.8,2.8
2015-07-27,46.6,47.0,44.0,44.95,45.2046745507,10739.0,47.0,485453.0,5252.0,48.91,3.0,-1.65
2015-07-24,45.0,45.5,43.0,44.1,44.8390163934,6100.0,62.0,273518.0,585.0,9.59,2.5,-0.9
2015-07-23,45.1,45.5,43.5,43.95,45.0117056856,10764.0,81.0,484506.0,977.0,9.08,2.0,-1.15
2015-07-22,44.85,44.95,43.0,43.1,43.8431873687,17607.0,122.0,771947.0,6071.0,34.48,1.95,-1.75
2015-07-21,45.1,50.0,41.0,43.15,45.6547826087,19550.0,110.0,892551.0,7825.0,40.03,9.0,-1.95
2015-07-20,45.0,45.0,44.0,44.55,44.6913315111,10244.0,52.0,457818.0,5159.0,50.36,1.0,-0.45
2015-07-17,45.1,45.1,44.0,44.95,44.8686094921,6005.0,56.0,269436.0,505.0,8.41,1.1,-0.15
2015-07-16,44.35,45.1,44.0,44.9,44.5724025974,12320.0,69.0,549132.0,5345.0,43.38,1.1,0.55
2015-07-15,44.35,44.65,43.05,43.25,43.7685983291,7541.0,43.0,330059.0,2411.0,31.97,1.6,-1.1
2015-07-14,45.75,45.75,42.5,42.85,43.1788617886,11316.0,89.0,488612.0,5177.0,45.75,3.25,-2.9
2015-07-13,45.0,45.95,43.0,43.95,44.6315281631,8291.0,49.0,370040.0,3185.0,38.42,2.95,-1.05
2015-07-10,45.5,45.5,43.0,43.9,44.6509859518,7759.0,78.0,346447.0,2625.0,33.83,2.5,-1.6
2015-07-09,44.0,46.0,44.0,44.4,44.7894769498,16117.0,75.0,721872.0,6831.0,42.38,2.0,0.4
2015-07-08,44.95,45.0,42.0,43.75,44.0045029832,8883.0,76.0,390892.0,3097.0,34.86,3.0,-1.2
2015-07-07,45.45,45.45,44.65,44.65,45.0980122023,5081.0,15.0,229143.0,35.0,0.69,0.8,-0.8
2015-07-06,44.25,45.0,43.0,44.75,43.5673899437,9586.0,89.0,417637.0,4231.0,44.14,2.0,0.5
2015-07-03,45.95,45.95,43.25,43.95,44.1358527447,6139.0,44.0,270950.0,836.0,13.62,2.7,-2.0
2015-07-02,47.0,52.0,43.0,43.55,43.947992849,6153.0,65.0,270412.0,861.0,13.99,9.0,-3.45
2015-07-01,45.0,46.0,43.5,43.7,44.9739898577,6113.0,46.0,274926.0,775.0,12.68,2.5,-1.3
2015-06-30,43.0,46.0,43.0,45.25,45.0180660702,5812.0,38.0,261645.0,550.0,9.46,3.0,2.25
2015-06-29,43.5,45.0,43.5,44.2,43.8274635361,5622.0,41.0,246398.0,302.0,5.37,1.5,0.7
2015-06-26,44.0,45.5,41.8,42.75,43.3374000841,9508.0,48.0,412052.0,3280.0,34.5,3.7,-1.25
2015-06-25,44.0,45.5,42.25,42.85,44.1343825666,7434.0,64.0,328095.0,2015.0,27.11,3.25,-1.15
2015-06-24,44.1,45.0,42.05,43.3,43.7176506577,9807.0,109.0,428739.0,2498.0,25.47,2.95,-0.8
2015-06-23,44.5,46.0,43.0,43.85,44.4320280166,6282.0,38.0,279122.0,956.0,15.22,3.0,-0.65
2015-06-22,46.7,46.7,42.75,44.35,44.6111798448,8891.0,101.0,396638.0,2689.0,30.24,3.95,-2.35
2015-06-19,44.95,47.0,44.0,46.7,44.8709972553,6558.0,38.0,294264.0,1558.0,23.76,3.0,1.75
2015-06-18,40.5,45.0,40.5,44.55,42.9206984358,8247.0,72.0,353967.0,7170.0,86.94,4.5,4.05
2015-06-17,43.0,44.35,41.85,43.85,42.5579392658,6619.0,57.0,281691.0,1410.0,21.3,2.5,0.85
2015-06-16,42.0,44.7,41.8,42.6,42.3925156715,15793.0,119.0,669505.0,9856.0,62.41,2.9,0.6
2015-06-15,40.55,44.0,39.5,41.8,40.5595238095,13860.0,123.0,562155.0,12616.0,91.02,4.5,1.25
2015-06-12,42.0,42.95,39.0,39.9,41.2640429338,8385.0,49.0,345999.0,2135.0,25.46,3.95,-2.1
2015-06-11,45.0,45.2,42.5,42.95,44.4497475355,8318.0,61.0,369733.0,1760.0,21.16,2.7,-2.05
2015-06-10,45.5,46.9,42.5,44.25,44.7904751892,9512.0,52.0,426047.0,3657.0,38.45,4.4,-1.25
2015-06-09,48.0,48.0,43.0,45.0,43.8868715084,5012.0,38.0,219961.0,3380.0,67.44,5.0,-3.0
2015-06-08,47.45,47.45,43.0,45.4,45.16069303,15122.0,77.0,682920.0,3566.0,23.58,4.45,-2.05
2015-06-05,40.5,47.95,40.5,45.25,45.0855189954,6291.0,83.0,283633.0,3505.0,55.71,7.45,4.75
2015-06-04,47.9,47.9,43.8,46.35,44.6025949706,7476.0,137.0,333449.0,5966.0,79.8,4.1,-1.55
2015-06-03,48.9,48.95,44.8,46.0,45.5962694301,4825.0,69.0,220002.0,3951.0,81.89,4.15,-2.9
2015-06-02,44.0,48.0,43.05,46.55,45.9556301769,22335.0,136.0,1026419.0,7482.0,33.5,4.95,2.55
2015-06-01,46.5,48.1,46.0,46.3,46.6882107961,12486.0,44.0,582949.0,2422.0,19.4,2.1,-0.2
2015-05-29,48.1,48.5,46.2,46.4,47.6255446623,14688.0,59.0,699524.0,4521.0,30.78,2.3,-1.7
2015-05-28,49.8,49.8,47.5,48.0,48.2950041444,13271.0,60.0,640923.0,3000.0,22.61,2.3,-1.8
2015-05-27,49.9,49.9,47.25,48.05,48.2051161919,10672.0,52.0,514445.0,531.0,4.98,2.65,-1.85
2015-05-26,47.0,49.9,47.0,48.5,47.5833333333,156.0,11.0,7423.0,104.0,66.67,2.9,1.5
2015-05-25,49.5,49.5,47.05,47.65,48.1634138273,3023.0,15.0,145598.0,2903.0,96.03,2.45,-1.85
2015-05-22,48.0,49.9,47.0,49.15,47.6479859895,2855.0,25.0,136035.0,2756.0,96.53,2.9,1.15
2015-05-21,49.0,49.0,47.6,48.35,48.2680441551,14132.0,53.0,682124.0,3223.0,22.81,1.4,-0.65
2015-05-20,47.05,49.3,47.0,47.0,48.3555228277,3395.0,10.0,164167.0,3345.0,98.53,2.3,-0.05
2015-05-19,49.5,49.5,47.0,47.6,47.9788589365,10832.0,50.0,519707.0,738.0,6.81,2.5,-1.9
2015-05-18,48.0,48.9,47.0,47.0,47.3566105769,8320.0,43.0,394007.0,2220.0,26.68,1.9,-1.0
2015-05-15,50.85,50.85,46.75,47.65,48.7427931961,11170.0,74.0,544457.0,1217.0,10.9,4.1,-3.2
2015-05-14,49.75,49.75,45.75,48.0,47.5224056604,848.0,27.0,40299.0,459.0,54.13,4.0,-1.75
2015-05-13,48.0,49.95,46.0,47.1,47.0527897557,7653.0,66.0,360095.0,6272.0,81.95,3.95,-0.9
2015-05-12,46.1,50.5,46.0,46.8,46.8309672535,5283.0,81.0,247408.0,3914.0,74.09,4.5,0.7
2015-05-11,47.55,50.5,47.55,49.4,48.6413802186,15186.0,51.0,738668.0,4571.0,30.1,2.95,1.85
2015-05-08,50.0,51.0,47.05,47.35,49.7560168815,219175.0,240.0,10905275.0,203470.0,92.83,3.95,-2.65
2015-05-07,50.9,51.05,47.5,48.2,49.6383227531,5986.0,143.0,297135.0,3883.0,64.87,3.55,-2.7
2015-05-06,51.8,51.9,50.6,51.05,51.452904312,21382.0,197.0,1100166.0,5764.0,26.96,1.3,-0.75
2015-05-05,53.0,53.9,48.1,51.1,52.1712031381,66792.0,874.0,3484619.0,16183.0,24.23,5.8,-1.9
2015-05-04,50.5,57.5,45.5,52.3,52.1926078495,255379.0,2863.0,13328896.0,40053.0,15.68,12.0,1.8
2015-04-30,49.35,49.4,48.0,49.4,48.3846153846,325.0,34.0,15725.0,225.0,69.23,1.4,0.05
2015-04-29,49.7,50.2,48.5,49.15,49.604195442,11584.0,160.0,574615.0,1220.0,10.53,1.7,-0.55
2015-04-28,48.7,50.0,45.5,49.3,48.6428121059,3172.0,145.0,154295.0,1545.0,48.71,4.5,0.6
2015-04-27,48.9,49.0,47.0,48.45,47.358808933,2015.0,81.0,95428.0,1655.0,82.13,2.0,-0.45
2015-04-24,49.75,49.75,47.0,47.85,48.4745484401,1218.0,36.0,59042.0,1118.0,91.79,2.75,-1.9
2015-04-23,49.5,49.8,49.1,49.8,49.2960451977,885.0,32.0,43627.0,750.0,84.75,0.7,0.3
